日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/02,古亭,WIND_SPEED,0.9,1.1,0.9,0.9,1.4,1.1,1.4,1.2,1.4,0.8,1.4,1.5,3.7,2.9,1.8,2.6,2.3,2.5,1.4,2.1,1.7,1.9,2.5,2.3
2017/01/02,古亭,WS_HR,0.7,0.8,1.2,0.5,1.5,1.1,1.0,1.1,1.1,0.5,0.5,0.7,1.9,2.5,1.7,1.2,2.2,1.8,1.7,1.6,1.8,1.8,2.0,2.1
2017/01/03,古亭,AMB_TEMP,22.0,22.0,21.0,21.0,21.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,21.0,21.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0
2017/01/03,古亭,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/03,古亭,CO,0.27,0.26,0.22,0.19,0.17,0.18,0.28,0.52,0.68,0.54,0.42,0.44,0.36,0.32,0.39,0.46,0.48,0.56,0.62,0.53,0.54,0.51,0.48,0.42
2017/01/03,古亭,NMHC,0.06,0.07,0.06,0.05,0.04,0.04,0.06,0.13,0.18,0.15,0.13,0.14,0.11,0.08,0.13,0.16,0.17,0.18,0.19,0.15,0.15,0.13,0.12,0.11
2017/01/03,古亭,NO,0.8,0.7,0.9,0.6,0.5,0.5,3.9,9.4,11.0,8.0,5.5,6.0,5.9,3.5,4.7,6.8,6.0,4.9,5.5,3.4,3.4,3.9,2.9,1.5
2017/01/03,古亭,NO2,10.0,9.6,8.8,6.3,5.4,5.6,16.0,26.0,30.0,28.0,25.0,24.0,17.0,15.0,23.0,28.0,29.0,30.0,29.0,24.0,26.0,25.0,22.0,19.0
2017/01/03,古亭,NOx,11.0,10.0,9.7,6.9,5.9,6.1,20.0,35.0,41.0,36.0,30.0,30.0,23.0,19.0,28.0,35.0,35.0,35.0,34.0,27.0,29.0,29.0,25.0,21.0
2017/01/03,古亭,O3,33.0,32.0,31.0,35.0,37.0,35.0,25.0,16.0,15.0,17.0,21.0,22.0,29.0,31.0,24.0,20.0,20.0,20.0,20.0,25.0,22.0,23.0,23.0,26.0
2017/01/03,古亭,PM10,21.0,20.0,18.0,16.0,13.0,11.0,7.0,14.0,24.0,29.0,37.0,28.0,25.0,31.0,29.0,29.0,21.0,23.0,27.0,33.0,35.0,34.0,29.0,16.0
2017/01/03,古亭,PM2.5,18.0,10.0,11.0,11.0,9.0,10.0,11.0,12.0,15.0,20.0,17.0,21.0,19.0,20.0,18.0,17.0,17.0,21.0,19.0,17.0,20.0,20.0,16.0,16.0
2017/01/03,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/03,古亭,RH,77.0,77.0,84.0,86.0,87.0,88.0,92.0,93.0,90.0,90.0,89.0,88.0,85.0,82.0,86.0,89.0,90.0,89.0,88.0,87.0,87.0,87.0,89.0,90.0
2017/01/03,古亭,SO2,0.8,1.7,2.5,1.9,1.4,1.3,1.3,1.6,1.8,2.0,1.9,2.0,1.8,1.5,1.8,2.5,2.0,1.8,1.8,2.0,2.0,2.0,2.1,1.9
2017/01/03,古亭,THC,2.0,2.0,2.0,1.9,1.9,1.9,1.9,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.0,2.1,2.1,2.0,2.0
2017/01/03,古亭,WD_HR,75.0,61.0,66.0,65.0,86.0,86.0,105.0,103.0,82.0,99.0,89.0,92.0,94.0,90.0,69.0,73.0,75.0,80.0,88.0,85.0,92.0,80.0,83.0,66.0
2017/01/03,古亭,WIND_DIREC,72.0,63.0,65.0,66.0,96.0,87.0,114.0,94.0,93.0,96.0,81.0,89.0,92.0,82.0,70.0,68.0,80.0,78.0,95.0,77.0,89.0,89.0,63.0,68.0
2017/01/03,古亭,WIND_SPEED,1.9,2.0,2.6,3.7,2.2,1.6,1.6,2.5,2.3,2.3,2.0,2.0,3.7,3.0,2.7,2.9,2.4,2.4,3.0,2.2,3.0,2.0,1.9,1.8
2017/01/03,古亭,WS_HR,2.0,1.8,2.5,2.7,2.4,1.7,1.7,2.0,1.9,2.0,2.2,2.1,2.9,2.8,2.6,2.2,2.3,2.4,2.5,2.6,2.2,2.2,2.2,1.8
2017/01/04,古亭,AMB_TEMP,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,24.0,25.0,26.0,26.0,26.0,27.0,26.0,26.0,25.0,24.0,23.0,23.0,23.0,23.0,23.0
2017/01/04,古亭,CH4,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/04,古亭,CO,0.33,0.3,0.25,0.24,0.22,0.25,0.33,0.62,0.55,0.47,0.41,0.24,0.22,0.19,0.19,0.23,0.29,0.54,0.66,0.64,0.46,0.51,0.37,0.31
2017/01/04,古亭,NMHC,0.09,0.1,0.08,0.06,0.08,0.07,0.08,0.16,0.15,0.15,0.15,0.06,0.05,0.04,0.04,0.06,0.09,0.14,0.18,0.19,0.13,0.14,0.1,0.07
2017/01/04,古亭,NO,0.9,0.8,0.6,0.9,1.1,1.9,11.0,16.0,12.0,12.0,11.0,4.9,3.6,3.1,3.0,3.2,3.5,8.3,8.8,7.4,3.9,4.8,2.5,1.7
2017/01/04,古亭,NO2,13.0,11.0,8.4,8.9,9.8,14.0,24.0,28.0,24.0,23.0,21.0,10.0,8.8,7.0,7.8,11.0,14.0,24.0,27.0,28.0,23.0,24.0,17.0,14.0
2017/01/04,古亭,NOx,14.0,12.0,9.0,9.9,11.0,16.0,36.0,44.0,36.0,35.0,32.0,15.0,12.0,10.0,11.0,14.0,18.0,32.0,36.0,36.0,27.0,29.0,20.0,16.0
2017/01/04,古亭,O3,31.0,32.0,35.0,33.0,28.0,23.0,15.0,11.0,17.0,21.0,22.0,31.0,34.0,35.0,37.0,33.0,28.0,16.0,14.0,12.0,17.0,16.0,21.0,24.0
2017/01/04,古亭,PM10,20.0,31.0,27.0,23.0,21.0,17.0,18.0,24.0,23.0,19.0,0.0,17.0,17.0,17.0,28.0,21.0,14.0,14.0,16.0,14.0,18.0,17.0,15.0,10.0
2017/01/04,古亭,PM2.5,18.0,16.0,19.0,14.0,14.0,11.0,10.0,10.0,15.0,14.0,0.0,1.0,2.0,8.0,10.0,10.0,9.0,7.0,9.0,8.0,8.0,10.0,8.0,6.0
2017/01/04,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/04,古亭,RH,89.0,89.0,89.0,90.0,90.0,88.0,87.0,86.0,84.0,75.0,68.0,61.0,61.0,59.0,57.0,57.0,58.0,64.0,67.0,69.0,71.0,73.0,73.0,72.0
2017/01/04,古亭,SO2,1.8,1.9,1.9,1.9,1.9,1.9,2.9,2.9,3.1,2.9,2.0,1.4,1.2,1.1,1.2,1.3,1.2,1.4,1.6,1.9,1.7,1.8,1.8,1.6
2017/01/04,古亭,THC,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.0,2.0,2.0,1.9
2017/01/04,古亭,WD_HR,69.0,90.0,84.0,77.0,73.0,80.0,79.0,79.0,67.0,71.0,79.0,93.0,109.0,89.0,90.0,86.0,89.0,82.0,81.0,81.0,82.0,88.0,77.0,68.0
2017/01/04,古亭,WIND_DIREC,88.0,96.0,86.0,69.0,95.0,78.0,79.0,59.0,70.0,71.0,84.0,99.0,106.0,72.0,102.0,97.0,76.0,78.0,71.0,81.0,79.0,87.0,71.0,67.0
2017/01/04,古亭,WIND_SPEED,1.4,2.4,1.7,1.7,0.8,1.8,1.4,2.7,3.0,2.7,3.4,3.5,3.8,3.4,3.9,3.0,2.6,2.6,2.2,2.1,2.0,2.2,1.8,1.7
2017/01/04,古亭,WS_HR,1.4,1.6,1.5,1.5,1.2,1.4,1.4,1.8,2.7,2.5,2.5,3.4,3.7,3.4,3.4,3.1,2.7,2.3,2.2,2.2,2.2,2.0,2.1,1.6
2017/01/05,古亭,AMB_TEMP,23.0,22.0,21.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,24.0,24.0,25.0,26.0,25.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0
2017/01/05,古亭,CH4,2.0,2.1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.1
2017/01/05,古亭,CO,0.36,0.5,0.3,0.25,0.22,0.27,0.51,0.94,1.18,1.52,1.5,1.22,0.91,0.68,0.59,0.6,0.76,0.89,1.1,1.07,1.27,1.23,1.39,1.33
2017/01/05,古亭,NMHC,0.1,0.22,0.12,0.11,0.09,0.06,0.14,0.24,0.35,0.76,0.7,0.7,0.59,0.35,0.24,0.24,0.31,0.37,0.42,0.42,0.49,0.5,0.63,0.66
2017/01/05,古亭,NO,1.4,2.9,1.9,2.8,2.4,5.7,25.0,45.0,35.0,26.0,22.0,11.0,6.2,3.7,3.2,2.8,2.6,2.7,3.9,5.1,14.0,17.0,21.0,24.0
2017/01/05,古亭,NO2,17.0,22.0,14.0,9.4,9.4,9.7,15.0,17.0,22.0,49.0,63.0,62.0,48.0,31.0,27.0,28.0,39.0,47.0,53.0,54.0,54.0,52.0,50.0,49.0
2017/01/05,古亭,NOx,18.0,25.0,16.0,12.0,12.0,15.0,39.0,62.0,57.0,76.0,85.0,73.0,54.0,35.0,30.0,31.0,42.0,50.0,56.0,59.0,68.0,69.0,71.0,73.0
2017/01/05,古亭,O3,21.0,9.1,13.0,12.0,10.0,9.3,4.2,2.5,5.9,16.0,25.0,41.0,58.0,69.0,64.0,59.0,45.0,24.0,11.0,5.4,2.6,1.8,1.8,1.8
2017/01/05,古亭,PM10,22.0,21.0,18.0,16.0,14.0,13.0,13.0,31.0,26.0,58.0,75.0,97.0,87.0,92.0,88.0,88.0,100.0,99.0,99.0,93.0,95.0,96.0,104.0,104.0
2017/01/05,古亭,PM2.5,6.0,9.0,11.0,10.0,13.0,10.0,10.0,16.0,19.0,47.0,51.0,59.0,56.0,58.0,61.0,57.0,61.0,66.0,67.0,62.0,62.0,66.0,68.0,71.0
2017/01/05,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/05,古亭,RH,73.0,78.0,81.0,84.0,86.0,86.0,86.0,85.0,79.0,76.0,70.0,68.0,64.0,63.0,67.0,69.0,71.0,75.0,76.0,75.0,76.0,76.0,77.0,79.0
2017/01/05,古亭,SO2,1.7,1.7,1.4,1.2,1.1,1.1,1.4,2.1,2.3,5.6,6.0,8.3,7.5,4.8,4.7,3.7,4.1,5.5,5.5,5.6,6.0,7.2,8.0,9.1
2017/01/05,古亭,THC,2.1,2.3,2.1,2.0,2.0,1.9,2.0,2.2,2.3,2.9,2.8,2.8,2.6,2.3,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,2.7,2.8
2017/01/05,古亭,WD_HR,62.0,193.0,193.0,197.0,196.0,188.0,189.0,195.0,189.0,255.0,223.0,259.0,245.0,296.0,319.0,318.0,316.0,319.0,318.0,320.0,268.0,310.0,259.0,214.0
2017/01/05,古亭,WIND_DIREC,147.0,187.0,190.0,197.0,197.0,184.0,178.0,208.0,235.0,182.0,262.0,272.0,238.0,330.0,314.0,322.0,313.0,319.0,325.0,55.0,309.0,254.0,251.0,204.0
2017/01/05,古亭,WIND_SPEED,0.8,0.8,1.2,1.5,1.1,0.8,0.7,1.3,0.8,0.9,1.2,1.3,1.9,2.5,1.6,1.1,2.4,2.0,1.6,0.5,0.7,1.3,1.5,1.4
2017/01/05,古亭,WS_HR,1.0,1.1,1.2,1.2,1.1,1.1,0.9,1.0,1.1,0.8,1.0,1.1,0.9,0.9,2.1,1.5,2.0,2.1,1.1,0.8,0.5,0.4,0.9,0.7
2017/01/06,古亭,AMB_TEMP,22.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,23.0,25.0,25.0,25.0,24.0,24.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0
2017/01/06,古亭,CH4,2.1,2.1,2.1,2.0,2.1,2.1,2.2,2.2,2.1,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/06,古亭,CO,0.92,1.07,1.04,0.72,0.62,0.64,0.83,0.92,1.02,0.95,0.69,0.55,0.44,0.41,0.42,0.51,0.61,0.75,0.86,0.68,0.56,0.61,0.6,0.48
2017/01/06,古亭,NMHC,0.46,0.48,0.44,0.34,0.33,0.34,0.4,0.42,0.43,0.38,0.26,0.21,0.15,0.12,0.13,0.21,0.22,0.27,0.26,0.2,0.14,0.15,0.14,0.11
2017/01/06,古亭,NO,12.0,21.0,17.0,7.0,2.9,6.8,21.0,23.0,26.0,25.0,13.0,8.7,5.2,5.3,4.5,5.8,6.4,9.3,8.8,5.0,3.0,3.9,3.3,1.9
2017/01/06,古亭,NO2,40.0,35.0,30.0,19.0,24.0,29.0,27.0,30.0,35.0,37.0,34.0,28.0,23.0,27.0,28.0,34.0,37.0,41.0,38.0,34.0,28.0,30.0,28.0,21.0
2017/01/06,古亭,NOx,52.0,55.0,47.0,26.0,27.0,35.0,48.0,53.0,62.0,63.0,46.0,37.0,28.0,33.0,32.0,39.0,44.0,50.0,47.0,39.0,31.0,33.0,31.0,23.0
2017/01/06,古亭,O3,3.8,1.6,1.5,6.3,4.6,7.4,1.9,4.2,5.5,7.7,21.0,33.0,34.0,29.0,33.0,25.0,19.0,11.0,13.0,16.0,22.0,19.0,20.0,26.0
2017/01/06,古亭,PM10,105.0,113.0,89.0,87.0,86.0,95.0,74.0,98.0,107.0,91.0,65.0,61.0,45.0,41.0,42.0,52.0,57.0,51.0,42.0,35.0,24.0,23.0,23.0,25.0
2017/01/06,古亭,PM2.5,70.0,63.0,58.0,62.0,59.0,67.0,61.0,68.0,68.0,60.0,48.0,37.0,32.0,28.0,29.0,31.0,34.0,31.0,25.0,23.0,17.0,13.0,15.0,10.0
2017/01/06,古亭,RAINFALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2017/01/06,古亭,RH,80.0,84.0,86.0,87.0,86.0,85.0,86.0,84.0,82.0,77.0,70.0,64.0,65.0,68.0,73.0,76.0,79.0,81.0,82.0,84.0,86.0,89.0,88.0,88.0
2017/01/06,古亭,SO2,5.8,3.4,2.5,1.9,4.0,5.4,3.3,4.7,6.2,7.8,5.4,3.5,2.9,8.6,8.3,3.8,2.8,3.3,2.9,3.3,1.8,1.2,1.4,1.4
2017/01/06,古亭,THC,2.5,2.6,2.6,2.4,2.4,2.4,2.6,2.6,2.6,2.4,2.2,2.1,2.0,2.0,2.0,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.0
2017/01/06,古亭,WD_HR,197.0,156.0,178.0,177.0,177.0,195.0,136.0,111.0,109.0,92.0,82.0,71.0,62.0,72.0,78.0,82.0,85.0,76.0,88.0,74.0,67.0,78.0,81.0,102.0
2017/01/06,古亭,WIND_DIREC,181.0,134.0,170.0,176.0,194.0,161.0,112.0,119.0,93.0,95.0,96.0,90.0,50.0,72.0,87.0,94.0,81.0,76.0,89.0,72.0,66.0,93.0,101.0,95.0
2017/01/06,古亭,WIND_SPEED,0.5,0.7,1.0,0.6,0.5,1.0,0.8,1.4,1.1,2.3,1.9,2.5,2.0,2.5,2.3,1.2,1.4,2.1,1.8,2.2,2.6,1.8,1.9,1.4
2017/01/06,古亭,WS_HR,0.8,0.7,0.8,0.9,0.2,0.6,0.6,1.0,1.2,1.5,1.9,2.1,2.0,2.3,2.4,1.9,1.3,1.3,1.3,1.9,2.0,2.0,1.4,1.5
2017/01/07,古亭,AMB_TEMP,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,24.0,25.0,26.0,26.0,26.0,25.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
2017/01/07,古亭,CH4,1.9,1.9,2.0,2.0,2.0,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0
2017/01/07,古亭,CO,0.41,0.37,0.48,0.41,0.45,0.55,0.62,0.65,0.81,0.71,0.78,0.77,0.76,0.69,0.66,0.59,0.51,0.64,0.78,0.71,0.81,0.98,0.91,0.98
2017/01/07,古亭,NMHC,0.1,0.09,0.18,0.12,0.15,0.25,0.3,0.22,0.24,0.22,0.28,0.33,0.34,0.32,0.28,0.26,0.18,0.24,0.28,0.25,0.3,0.34,0.3,0.31
2017/01/07,古亭,NO,1.2,1.0,1.7,2.0,1.9,5.8,13.0,11.0,17.0,15.0,9.5,7.6,6.5,3.5,3.4,4.0,3.0,1.9,2.9,2.2,3.4,14.0,11.0,13.0
2017/01/07,古亭,NO2,16.0,13.0,15.0,14.0,16.0,21.0,20.0,23.0,28.0,26.0,27.0,32.0,35.0,28.0,29.0,30.0,25.0,30.0,37.0,32.0,36.0,36.0,31.0,30.0
2017/01/07,古亭,NOx,17.0,14.0,17.0,16.0,18.0,26.0,34.0,34.0,45.0,40.0,36.0,40.0,42.0,31.0,32.0,34.0,28.0,32.0,40.0,35.0,39.0,51.0,42.0,44.0
2017/01/07,古亭,O3,28.0,30.0,20.0,21.0,15.0,8.8,3.6,8.5,8.8,16.0,25.0,34.0,45.0,58.0,44.0,31.0,28.0,23.0,14.0,15.0,9.7,7.4,6.9,3.4
2017/01/07,古亭,PM10,19.0,21.0,23.0,21.0,17.0,28.0,33.0,23.0,29.0,25.0,35.0,52.0,59.0,59.0,80.0,63.0,51.0,52.0,63.0,57.0,69.0,83.0,79.0,74.0
2017/01/07,古亭,PM2.5,11.0,13.0,14.0,17.0,20.0,20.0,21.0,15.0,21.0,19.0,27.0,40.0,50.0,50.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,52.0,51.0,48.0
2017/01/07,古亭,RAINFALL,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/01/07,古亭,RH,89.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,88.0,83.0,77.0,70.0,63.0,62.0,66.0,72.0,79.0,79.0,79.0,81.0,82.0,82.0,83.0,83.0
2017/01/07,古亭,SO2,2.5,1.6,1.6,1.9,1.7,2.1,2.2,2.1,2.1,2.4,1.9,3.9,4.4,4.2,3.9,3.8,3.2,3.9,3.8,3.4,3.8,3.8,3.0,2.8
2017/01/07,古亭,THC,2.0,2.0,2.2,2.1,2.1,2.3,2.4,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.3
2017/01/07,古亭,WD_HR,106.0,114.0,153.0,138.0,179.0,180.0,105.0,103.0,100.0,186.0,246.0,246.0,233.0,266.0,305.0,316.0,315.0,317.0,317.0,318.0,288.0,191.0,188.0,177.0
